cp,barrio_asignado,personas_muestra,poblacion_real_2022,tasa_muestreo_%,pct_bancarizado,pct_demanda_12m,pct_score_bueno,mercado_potencial_demanda_activa_12m
1425,Palermo,24319,247252,9.84,70.9,37.8,85.2,93461
1406,Flores,20649,151440,13.64,63.1,36.7,76.2,55578
1405,Villa Crespo,4388,87877,4.99,76.0,41.8,84.2,36733
1429,Núñez,7115,64959,10.95,73.8,40.7,83.9,26438
1408,Liniers,4120,47093,8.75,72.1,41.2,76.0,19402
1407,Vélez Sarsfield,15970,34811,45.88,66.0,38.1,72.0,13263
1427,Chacarita,1525,31321,4.87,72.3,39.5,71.9,12372
1430,Villa Ortúzar,1677,22470,7.46,71.7,38.6,78.5,8673
